Year,State,PTMG,PTFG,PTMP,PTFP
2017-18,ANDAMAN & NICOBAR ISLANDS,99.14,98.99,98.2,98.05
2017-18,ANDHRA PRADESH,99.59,99.55,83.41,83.35
2017-18,ARUNACHAL PRADESH,23.65,19.44,11.48,9.47
2017-18,ASSAM,65.11,64.88,12.15,14.79
2017-18,BIHAR,52.54,39.56,36.59,36.18
2017-18,CHANDIGARH,99.39,99.82,99.58,98.93
2017-18,CHHATTISGARH,72.24,68.94,58.38,60.06
2017-18,DADRA & NAGAR HAVELI,99.54,99.31,100,100
2017-18,DAMAN & DIU,99.29,100,100,100
2017-18,DELHI,100,100,100,100
2017-18,GOA,98.67,97.41,100,87.69
2017-18,GUJARAT,99.54,99.51,99.36,99.46
2017-18,HARYANA,99.63,99.55,99.5,99.38
2017-18,HIMACHAL PRADESH,98.82,99,88.88,87.59
2017-18,JAMMU AND KASHMIR,57.13,70.69,33.09,47.55
2017-18,JHARKHAND,89.66,89.78,52.57,56.82
2017-18,KARNATAKA,99.64,99.47,98.93,100
2017-18,KERALA,97.99,92.01,95.98,95.44
2017-18,LAKSHADWEEP,99.07,86.13,98.08,98.59
2017-18,MADHYA PRADESH,86.88,81.3,37.85,28.67
2017-18,MAHARASHTRA,99.4,99.4,73.26,78.73
2017-18,MANIPUR,42.66,41.69,30.16,35.92
2017-18,MEGHALAYA,30.87,36.22,12.33,16.31
2017-18,MIZORAM,69.82,66.47,17.28,22.61
2017-18,NAGALAND,37.83,38.86,33.33,32.56
2017-18,ORISSA,92.67,92.99,57,64.26
2017-18,PUDUCHERRY,99.31,99.67,98.09,99.3
2017-18,PUNJAB,99.37,98.75,96.04,92.94
2017-18,RAJASTHAN,96.94,96.22,80.97,81.56
2017-18,SIKKIM,52.04,49.75,22.29,29.87
2017-18,TAMIL NADU,99.69,99.37,95,93.55
2017-18,TRIPURA,42.57,42.47,50,54.55
2017-18,UTTAR PRADESH,93.68,93.22,35.69,31.03
2017-18,UTTARANCHAL,97.77,98.36,41.03,35.76
2017-18,WEST BENGAL,61.22,51.69,19.97,19.21
2012-13,INDIA,82.4,82.5,52.7,44.9
2012-13,JAMMU & KASHMIR,58.48,71.47,30.79,45.65
2012-13,HIMACHAL PRADESH,95.42,96.34,86.26,87.06
2012-13,PUNJAB,97.51,95.53,92.19,89.54
2012-13,CHANDIGARH,98.97,99.25,97.89,95.97
2012-13,UTTARAKHAND,96.11,94.21,46.91,42.36
2012-13,HARYANA,98.94,99,99.39,99.43
2012-13,DELHI,100,100,0,0
2012-13,RAJASTHAN,97.18,96.51,82.23,83.71
2012-13,UTTAR PRADESH,91.21,92.68,35.72,31.03
2012-13,BIHAR,51.57,39.43,50.62,41.85
2012-13,SIKKIM,54.73,53.36,25,40
2012-13,ARUNACHAL PRADESH,28.43,21.12,17.46,17.65
2012-13,NAGALAND,38.3,39,39.11,43.09
2012-13,MANIPUR,40.06,42.94,15,32.84
2012-13,MIZORAM,55.98,57.29,16.07,21.75
2012-13,TRIPURA,45.83,47.43,27.27,0
2012-13,MEGHALAYA,28.3,31.95,9.51,10.56
2012-13,ASSAM,51.97,53.04,12.33,32.53
2012-13,WEST BENGAL ,61.08,51.35,20.05,19.11
2012-13,JHARKHAND,95.01,94.59,71.5,75.72
2012-13,ODISHA,81.91,81.26,72.35,75.85
2012-13,CHHATTISGARH,70.45,68.63,54.44,56.08
2012-13,MADHYA PRADESH,88.1,82.83,53.33,28.81
2012-13,GUJARAT,99.64,99.65,98.26,97.82
2012-13,DAMAN & DIU,98.46,99.67,100,100
2012-13,DADRA & NAGAR HAVELI,99.66,99.15,0,0
2012-13,MAHARASHTRA,99.35,99.67,84.07,89.88
2012-13,ANDHRA PRADESH,99.97,99.94,92.26,92.81
