YEAR,STATENAME,Primary Only_T,Primary with Upper Primary_T,Primary with upper Primary Sec/H.Sec_T,Upper Primary Only_T,Upper Primary with Sec./H.Sec_T,Primary with upper Primary Sec_T,Upper Primary with Sec._T,Total_T,Primary Only_E,Primary with Upper Primary_E,Primary with upper Primary Sec/H.Sec_E,Upper Primary Only_E,Upper Primary with Sec./H.Sec_E,Primary with upper Primary Sec_E,Upper Primary with Sec._E,Total_E,Primary Only_R,Primary with Upper Primary_R,Primary with upper Primary Sec/H.Sec_R,Upper Primary Only_R,Upper Primary with Sec./H.Sec_R,Primary with upper Primary Sec_R,Upper Primary with Sec._R
2013-14,Andaman & Nicobar Island,1078,951,1762,0,510,962,0,5263,11195,9410,18004,0,2669,9981,0,51259,,,,,,,
2013-14,Andhra Pradesh,191508,103491,6320,44,3480,20517,205381,530741,5027065,3027424,122097,420,84737,542064,2905217,11709024,,,,,,,
2013-14,Arunanchal Pradesh,5441,8738,1446,343,1125,2988,339,20420,89503,130095,20906,4307,6090,45750,3162,299813,,,,,,,
2013-14,Assam,119711,17642,2751,74409,18151,16259,19143,268066,3278981,224013,55212,1175840,153432,260944,177169,5325591,,,,,,,
2013-14,Bihar,130950,228853,4814,2290,1148,12054,1842,381951,6633213,12695104,120140,124955,18886,629256,33244,20254798,,,,,,,
2013-14,Chandigarh,195,550,5012,0,209,2589,0,8555,3925,14601,81392,0,1355,58611,0,159884,,,,,,,
2013-14,Chhattisgarh,107232,19180,17099,51749,2423,5255,9478,212416,2326466,179340,378750,1178068,33348,105079,153362,4354413,,,,,,,
2013-14,Dadara & Nagar Havelli,451,1015,316,3,23,169,0,1977,10526,37069,7143,39,172,3605,0,58554,,,,,,,
2013-14,Daman & Diu,310,70,272,139,193,137,72,1193,9035,2292,8692,2876,1522,2871,1244,28532,,,,,,,
2013-14,Delhi,26799,8172,63065,534,22981,5642,3838,131031,1067093,196553,1062076,14863,345278,133905,80728,2900496,,,,,,,
2013-14,Goa,2900,540,477,81,166,3575,3200,10939,58730,36978,9492,1435,880,76015,45415,228945,,,,,,,
2013-14,Gujarat,34846,225966,32318,3579,3306,9084,769,309868,829494,5430073,862286,130993,32634,252068,10173,7547721,,,,,,,
2013-14,Haryana,41211,15356,43819,10055,32906,22654,13898,179899,1348213,75530,944994,221337,347538,497775,216465,3651852,,,,,,,
2013-14,Himachal Pradesh,28164,6229,10296,9026,23470,6722,6094,90001,384210,23805,171411,81627,124334,92033,52105,929525,,,,,,,
2013-14,Jammu & Kashmir,35273,64915,10591,864,1905,33654,4570,151772,400015,618182,168486,6052,7212,413713,20429,1634089,,,,,,,
2013-14,Jharkhand,50732,64648,9620,130,3045,12730,4363,145268,1735307,2904379,346549,7934,49341,595779,91980,5731269,,,,,,,
2013-14,Karnataka,63066,196319,13722,1442,1089,32578,6239,314455,1027596,3673289,360893,32672,13479,868229,97607,6073765,,,,,,,
2013-14,Kerala,43925,43510,55257,6748,66568,20585,13434,250027,753664,748663,942050,130806,589304,381559,158505,3704551,,,,,,,
2013-14,Lakshadweep,211,228,157,46,252,0,0,894,2482,3004,1092,711,1000,0,0,8289,,,,,,,
2013-14,Madhya Pradesh,227614,112103,43092,87516,2093,24277,418,497113,6545060,493396,1215370,3443389,28248,621633,4932,12352028,,,,,,,
2013-14,Maharashtra,155707,212266,17667,287,123048,26537,108177,643689,3901629,5513523,377634,7077,2167472,690036,2250729,14908100,,,,,,,
2013-14,Manipur,11887,7572,2694,353,661,11051,1914,36132,136475,62559,51610,4205,3959,214880,13155,486843,,,,,,,
2013-14,Meghalaya,22915,1040,825,13390,1663,1177,2072,43082,475852,213867,14472,155875,19700,24183,22490,926439,,,,,,,
2013-14,Mizoram,5903,3114,5,7766,0,0,0,16788,79485,11924,19,60411,0,0,0,151839,,,,,,,
2013-14,Nagaland,11044,4213,2579,2615,858,4575,2622,28506,134908,41546,62941,24548,5065,100696,17760,387464,,,,,,,
2013-14,Odisha,89159,94933,2410,10819,710,17274,55399,270704,2043963,2603112,76582,322788,9505,442883,511344,6010177,,,,,,,
2013-14,Puducherry,1452,1145,3796,0,1739,2586,625,11343,21557,12455,71060,0,9964,47665,5771,168472,,,,,,,
2013-14,Punjab,49996,24100,55185,12777,35609,36236,20692,234595,1243011,148526,989243,207609,295768,660061,239621,3783839,,,,,,,
