Year,State,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5
2017-18,Andaman & Nicobar Island,573,339,0,0,602,169,311,0,0,1074,75,127,0,0,1078,5,9,0,0,86
2017-18,Andhra Pradesh,28041,12035,750,0,8332,114415,61545,6273,0,101029,41390,22398,7295,0,79796,596,393,316,0,1871
2017-18,Arunanchal Pradesh,2183,2286,559,26,107,1823,3791,1518,72,415,187,749,744,30,317,10,22,18,2,6
2017-18,Assam,28323,4924,2596,34543,3156,9115,6734,8056,28647,16831,364,477,1290,840,2371,46,29,65,59,76
2017-18,Bihar,71142,80791,781,453,68,35326,69523,849,795,260,9330,29084,829,403,174,940,1414,39,18,16
2017-18,Chandigarh,11,23,128,0,1,53,238,1314,0,26,36,227,2026,0,56,2,16,157,0,2
2017-18,Chhattisgarh,35060,5058,929,1357,118,19162,5401,1581,17887,219,16312,4284,1539,24501,384,194,83,29,160,5
2017-18,Dadara & Nagar Havelli,106,152,31,0,3,92,197,93,3,4,29,121,40,0,7,0,1,1,0,0
2017-18,Daman & Diu,66,17,47,15,13,61,33,80,41,16,33,17,57,20,24,0,0,1,3,1
2017-18,Delhi,6101,442,1919,5,60,13106,3445,16889,112,2457,7711,2415,17559,336,6338,555,103,1079,13,466
2017-18,Goa,413,82,240,37,99,959,351,1144,494,899,195,126,396,242,464,0,1,3,0,1
2017-18,Gujarat,9564,59841,227,342,16,3521,42813,436,365,12,1754,21736,238,343,12,40,454,7,12,0
2017-18,Haryana,5915,1192,2427,714,2234,15042,4613,14842,2546,9423,8272,2784,13403,3338,12871,285,91,499,291,867
2017-18,Himachal Pradesh,4957,595,668,569,718,6119,1690,2930,1719,2557,3764,1520,3147,1587,2491,135,47,123,107,186
2017-18,Jammu & Kashmir,6932,13094,4401,55,275,8964,25195,17269,162,1759,4430,12616,9535,127,1733,105,286,275,8,61
2017-18,Jharkhand,4103,7852,2545,18,295,6565,17383,9723,87,3593,2089,7933,6691,51,2927,44,176,230,1,135
2017-18,Karnataka,31169,88402,5800,444,3684,11121,36181,15490,519,40293,2717,13206,9853,303,36281,356,1075,451,11,750
2017-18,Kerala,18995,11257,4800,1473,4426,13237,18036,15499,3130,19646,2446,4416,8321,706,7777,54,103,197,13,172
2017-18,Lakshadweep,25,11,3,0,7,20,33,39,4,83,7,7,26,7,32,0,1,2,0,0
2017-18,Madhya Pradesh,86718,31500,4319,5600,142,73641,44344,11493,31229,450,51617,18989,9139,41828,527,594,497,201,553,11
2017-18,Maharashtra,45502,60995,4329,62,21815,42517,72155,10990,255,67400,9892,19414,4427,66,17625,120,278,121,1,209
2017-18,Manipur,4035,1125,1202,29,59,4275,3114,4526,150,1120,295,399,1124,7,202,25,14,78,1,14
2017-18,Meghalaya,7221,548,294,4090,228,2826,711,765,2749,533,244,90,215,285,190,7,5,9,11,1
2017-18,Mizoram,950,539,51,799,4,712,1013,131,3101,9,46,169,28,179,16,2,4,0,5,0
2017-18,Nagaland,3221,723,1182,390,187,1995,1110,2771,1190,772,190,121,612,189,159,6,5,22,3,13
2017-18,Odisha,14002,11135,1154,1500,4127,18811,24810,5534,4528,33019,2880,4564,2097,856,8075,82,148,80,19,219
2017-18,Puducherry,374,255,804,0,53,700,494,2338,0,572,268,298,1909,0,1371,16,67,308,0,292
2017-18,Punjab,5990,2390,4032,904,1691,12157,4227,18569,2867,11900,16709,2677,19332,4546,24687,661,83,672,177,1191
2017-18,Rajasthan,24012,35129,11213,137,3424,37576,106782,49188,460,13801,23070,68257,26679,403,14725,228,744,353,3,150
2017-18,Sikkim,1437,926,818,0,6,677,1177,1630,14,37,58,172,610,0,32,1,4,26,0,0
2017-18,Tamil Nadu,45711,17733,6058,40,5110,42430,27182,32444,117,19618,19115,19189,19401,65,15122,1756,2341,2190,13,2619
2017-18,Tripura,1346,1038,1616,0,17,559,6793,5557,8,494,76,368,423,9,46,9,11,15,1,3
2017-18,Uttarakhand,62065,7862,621,36431,822,143337,28669,2231,70548,4851,114187,16758,2443,61675,7982,3073,251,44,1155,114
