year,grade,total,girls,boys,x,State
2016-17,1,6053,2877,3176,A & N ISLANDS,A & N ISLANDS
2016-17,2,6109,3013,3096,A & N ISLANDS,A & N ISLANDS
2016-17,3,6171,3067,3104,A & N ISLANDS,A & N ISLANDS
2016-17,4,6184,3097,3087,A & N ISLANDS,A & N ISLANDS
2016-17,5,6161,2996,3165,A & N ISLANDS,A & N ISLANDS
2016-17,6,6252,3041,3211,A & N ISLANDS,A & N ISLANDS
2016-17,7,6069,3025,3044,A & N ISLANDS,A & N ISLANDS
2016-17,8,6146,3020,3126,A & N ISLANDS,A & N ISLANDS
2015-16,1,6259,3081,3178,A & N ISLANDS,A & N ISLANDS
2015-16,2,6295,3129,3166,A & N ISLANDS,A & N ISLANDS
2015-16,3,6288,3123,3165,A & N ISLANDS,A & N ISLANDS
2015-16,4,6229,3018,3211,A & N ISLANDS,A & N ISLANDS
2015-16,5,6335,3064,3271,A & N ISLANDS,A & N ISLANDS
2015-16,6,6294,3131,3163,A & N ISLANDS,A & N ISLANDS
2015-16,7,6273,3068,3205,A & N ISLANDS,A & N ISLANDS
2015-16,8,6140,2980,3160,A & N ISLANDS,A & N ISLANDS
2014-15,1,6415,3188,3227,A & N ISLANDS,A & N ISLANDS
2014-15,2,6332,3124,3208,A & N ISLANDS,A & N ISLANDS
2014-15,3,6266,3052,3214,A & N ISLANDS,A & N ISLANDS
2014-15,4,6345,3065,3280,A & N ISLANDS,A & N ISLANDS
2014-15,5,6267,3131,3136,A & N ISLANDS,A & N ISLANDS
2014-15,6,6385,3120,3265,A & N ISLANDS,A & N ISLANDS
2014-15,7,6359,3075,3284,A & N ISLANDS,A & N ISLANDS
2014-15,8,6458,3158,3300,A & N ISLANDS,A & N ISLANDS
2013-14,1,6453,3186,3267,A & N ISLANDS,A & N ISLANDS
2013-14,2,6404,3088,3316,A & N ISLANDS,A & N ISLANDS
2013-14,3,6393,3101,3292,A & N ISLANDS,A & N ISLANDS
2013-14,4,6290,3127,3163,A & N ISLANDS,A & N ISLANDS
2013-14,5,6447,3154,3293,A & N ISLANDS,A & N ISLANDS
2013-14,6,6438,3097,3341,A & N ISLANDS,A & N ISLANDS
2013-14,7,6562,3230,3332,A & N ISLANDS,A & N ISLANDS
2013-14,8,6716,3245,3471,A & N ISLANDS,A & N ISLANDS
2016-17,1,687854,298108,389746,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,2,688423,329434,358989,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,3,703811,338737,365074,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,4,692445,333831,358614,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,5,703238,339958,363280,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,6,690110,333473,356637,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,7,704494,340563,363931,ANDHRA PRADESH,ANDHRA PRADESH
2016-17,8,690345,334787,355558,ANDHRA PRADESH,ANDHRA PRADESH
