Year,grade,total,girls,boys,State
2016-17,8,6146,3020,3126,A & N ISLANDS
2016-17,9,6685,3106,3579,A & N ISLANDS
2016-17,10,5744,2861,2883,A & N ISLANDS
2016-17,11,6001,2898,3103,A & N ISLANDS
2016-17,12,4496,2429,2067,A & N ISLANDS
2015-16,8,6140,2980,3160,A & N ISLANDS
2015-16,9,6890,3240,3650,A & N ISLANDS
2015-16,10,5929,2948,2981,A & N ISLANDS
2015-16,11,5896,2895,3001,A & N ISLANDS
2015-16,12,4865,2492,2373,A & N ISLANDS
2014-15,8,6458,3158,3300,A & N ISLANDS
2014-15,9,7039,3255,3784,A & N ISLANDS
2014-15,10,5903,3028,2875,A & N ISLANDS
2014-15,11,6555,3054,3501,A & N ISLANDS
2014-15,12,5259,2601,2658,A & N ISLANDS
2013-14,8,6716,3245,3471,A & N ISLANDS
2013-14,9,6728,3296,3432,A & N ISLANDS
2013-14,10,6551,3161,3390,A & N ISLANDS
2013-14,11,6698,3049,3649,A & N ISLANDS
2013-14,12,5083,2558,2525,A & N ISLANDS
2016-17,8,690345,334787,355558,ANDHRA PRADESH
2016-17,9,651149,315623,335526,ANDHRA PRADESH
2016-17,10,635428,306039,329389,ANDHRA PRADESH
2016-17,11,0,0,0,ANDHRA PRADESH
2016-17,12,0,0,0,ANDHRA PRADESH
2015-16,8,664448,323072,341376,ANDHRA PRADESH
2015-16,9,643769,311772,331997,ANDHRA PRADESH
2015-16,10,629596,306223,323373,ANDHRA PRADESH
2015-16,11,445516,219927,225589,ANDHRA PRADESH
2015-16,12,491084,237311,253773,ANDHRA PRADESH
2014-15,8,681449,330754,350695,ANDHRA PRADESH
2014-15,9,654648,319883,334765,ANDHRA PRADESH
2014-15,10,621042,303605,317437,ANDHRA PRADESH
2014-15,11,434511,209868,224643,ANDHRA PRADESH
2014-15,12,387303,186133,201170,ANDHRA PRADESH
2013-14,8,1241936,613257,628679,ANDHRA PRADESH
2013-14,9,1171353,579966,591387,ANDHRA PRADESH
2013-14,10,1065150,522933,542217,ANDHRA PRADESH
2013-14,11,810332,393680,416652,ANDHRA PRADESH
2013-14,12,794214,385124,409090,ANDHRA PRADESH
2012-13,8,1214822,601821,613001,ANDHRA PRADESH
2012-13,9,1096495,541069,555426,ANDHRA PRADESH
2012-13,10,1047261,513090,534171,ANDHRA PRADESH
2012-13,11,797356,376754,420602,ANDHRA PRADESH
2012-13,12,691272,331838,359434,ANDHRA PRADESH
2016-17,8,29322,14867,14455,ARUNACHAL PRADESH
2016-17,9,28253,13610,14643,ARUNACHAL PRADESH
2016-17,10,23205,11512,11693,ARUNACHAL PRADESH
2016-17,11,14228,7087,7141,ARUNACHAL PRADESH
2016-17,12,14874,7534,7340,ARUNACHAL PRADESH
2015-16,8,32492,16252,16240,ARUNACHAL PRADESH
2015-16,9,29151,13959,15192,ARUNACHAL PRADESH
2015-16,10,24517,12024,12493,ARUNACHAL PRADESH
2015-16,11,19190,9479,9711,ARUNACHAL PRADESH
