State,ENR1T,ENR2T,ENR3T,ENR4T,ENR5T,ENR6T,ENR7T,ENRTOTT,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT,ENRBTOT
UTTAR PRADESH,19859688,4132427,1672614,6132460,1909359,483301,486676,34707745,9772897,1897382,822871,3159606,896237,232111,229343,9957372,14682217
BIHAR,6499392,13006589,595836,120419,22966,1444852,29410,21719464,3268947,6510163,276542,60371,10673,714658,16018,8857372,12862092
MAHARASHTRA,3740097,6369248,2380117,4683,224078,2825519,411398,15985712,1776491,3032951,1071197,2004,100647,1297804,194774,5489967,10495745
RAJASTHAN,1749985,4632418,3577881,21173,90681,2058774,19954,12152105,852694,2179200,1590527,18660,39640,927589,9115,3617961,8534144
MADHYA PRADESH,4828260,2240473,1680996,2897003,27235,708994,3067,12386708,2436829,948633,709219,1486338,10175,290311,1174,3882956,8503752
WEST BENGAL,5752819,198994,270923,933738,3910389,85806,781353,11934022,2787512,85856,123659,502413,1937669,38023,460627,3935759,7998263
GUJARAT,741134,6954555,879463,146907,43698,232436,13980,9012173,360038,3292677,357402,66451,16964,94162,9869,3197563,5814610
TAMIL NADU,2910351,1734678,2099138,8222,1161913,687255,507335,9108892,1438568,860955,969359,6149,591233,309922,254273,3430459,5678433
KARNATAKA,1036282,5058739,348556,38302,11975,1252819,104285,8363839,495918,2473677,163394,21113,4901,562067,51669,3017468,5346371
ODISHA,1789498,2833970,147187,308445,35976,561012,521937,6198025,882386,1359894,64341,148988,18280,259716,256536,2090141,4107884
JHARKHAND,1549751,3049208,339130,17054,54722,699474,75443,5789141,767633,1504037,137882,8480,41488,329586,38467,2829547,2959594
ANDHRA PRADESH,2365147,1069085,62567,40,38550,514063,1511268,5560720,1127048,508235,35916,17,17946,231875,727854,2648891,2911829
ASSAM,3184346,301323,128720,1122649,153310,465163,188331,5543842,1605755,138852,59618,602408,68366,203663,102298,2780960,2762882
TELANGANA,1317200,820165,83493,0,56757,1735205,805152,4817972,671432,396104,47240,0,27889,769988,413905,2326558,2491414
CHHATTISGARH,1996483,462565,475966,1062809,43911,154297,154220,4350251,999368,209070,214622,546672,20917,68112,77867,2136628,2213623
PUNJAB,1035772,311185,1162981,170852,343481,671495,198462,3894228,505360,135916,492846,80973,168082,291287,93537,1768001,2126227
HARYANA,1023044,487753,1157594,179052,302073,517424,157962,3824902,520014,197978,463589,100448,148681,210136,83428,1724274,2100628
KERALA,792394,894357,977278,118758,483475,502482,100437,3976143,398057,430990,468668,56537,237657,241100,59965,1942882,2033261
DELHI,989096,330416,1143912,12190,318913,131395,62579,2988501,484950,127550,560885,6287,137329,50632,28273,1395906,1592595
JAMMU & KASHMIR,362322,732825,168920,5354,6221,402345,15072,1693059,178861,353624,73511,4650,2253,180668,7075,800642,892417
UTTARAKHAND,656478,329045,273579,157664,151228,50251,59928,1679295,323712,141512,119811,80772,74527,21435,31378,793623,885672
HIMACHAL PRADESH,332749,70325,192802,56987,133713,109341,44757,940674,167537,30734,83143,28767,67109,47880,22264,447434,493240
MEGHALAYA,449468,25925,16503,167977,6902,27293,22022,716463,222028,13652,8551,87879,3498,12809,12124,360734,355729
TRIPURA,109695,139152,149765,165,10842,137814,642,548075,54515,68162,72928,86,4460,68549,449,269149,278926
MANIPUR,98365,88368,58449,3494,4846,196684,12402,462608,48108,43411,27657,2214,2266,96095,6735,226486,236122
ARUNACHAL PRADESH,63633,129399,17634,4974,6006,53396,3439,278544,31294,62415,8118,4844,2954,25487,2115,137264,161280
NAGALAND,45164,81739,61337,2368,5372,87087,10959,294118,22513,40989,29792,1268,2743,40601,5725,143684,150434
MIZORAM,73457,69807,0,58682,0,0,0,191946,35194,34076,0,28000,0,0,0,97270,124676
GOA,54387,5795,9742,600,757,80976,41327,193584,25614,2670,4384,288,365,39870,19152,92343,101241
PUDUCHERRY,21960,12486,77797,279,7356,43804,5049,168731,11718,6322,36203,140,4002,20806,2403,81594,87137
CHANDIGARH,2891,12872,82849,0,1328,56458,0,156398,1334,6016,38106,0,527,26346,0,72329,84069
SIKKIM,18163,30655,23031,0,769,21699,464,94781,7879,14710,11946,0,411,10723,282,45951,48830
DADRA & NAGAR HAVELI,8082,38404,7998,44,188,4564,0,59280,3978,18463,3279,44,80,1858,0,27702,31578
A & N ISLANDS,9346,10482,18475,0,1904,8250,688,49145,4663,5071,9144,0,902,4024,332,24136,25009
DAMAN & DIU,9533,1121,9444,5297,480,2776,0,28651,4887,483,4054,2665,223,1077,0,13389,15262
LAKSHADWEEP,2128,2531,964,369,787,499,0,7278,1021,1214,554,191,367,243,0,3590,3688
