YEAR,STATE,arts_c11_b,sci_c11_b,com_c11_b,voc_c11_b,oth_c11_b,arts_c11_g,sci_c11_g,com_c11_g,voc_c11_g,oth_c11_g,Total_11,arts_c12_b,sci_c12_b,com_c12_b,voc_c12_b,oth_c12_b,arts_c12_g,sci_c12_g,com_c12_g,voc_c12_g,oth_c12_g,Total_12
2012-13,Jammu & Kashmir,19309,14627,3608,212,89,19044,9739,1446,30,110,67773,15428,12889,3586,133,85,16802,8938,1484,97,202,59127
2012-13,Himachal Pradesh,31118,19470,11441,827,265,34118,14810,7536,161,241,118493,24260,18046,10410,691,222,29238,13866,6944,158,163,102764
2012-13,Punjab,114476,33631,18403,9996,1182,96675,26422,14992,6675,1046,304599,92206,26117,13523,7214,939,83940,21346,12515,5249,668,249647
2012-13,Chandigarh,3797,3230,1879,600,960,4102,1829,1528,610,356,16365,2258,2734,1457,502,703,2250,1675,1458,521,375,11832
2012-13,Uttarakhand,23556,31654,5070,5,384,38063,13912,2467,2,109,114722,22120,26113,4596,0,309,34623,12322,2253,0,106,102027
2012-13,Haryana,63295,50088,32701,546,1086,65305,24513,25310,689,224,261212,58825,45748,28706,238,1129,63440,23007,23132,365,326,242858
2012-13,Delhi,108713,32173,41725,4983,0,101811,17619,29193,9407,0,331234,51722,28664,35378,2954,0,64670,16149,26914,5973,0,223497
2012-13,Rajasthan,144115,67627,26939,284,1357,119637,27450,12453,134,941,398221,191974,78754,31136,406,1781,142529,27861,12745,175,1176,484999
2012-13,Uttar Pradesh,207311,268425,20112,8215,10198,329981,92618,8777,7322,1999,927224,166463,227149,17521,6877,8387,268154,72264,7791,6557,1493,759342
2012-13,Bihar,15758,18316,4543,96,40,25389,8488,1396,64,36,73890,14017,15485,4389,86,69,19977,6115,1135,58,89,61118
2012-13,Sikkim,1098,629,427,344,61,1597,746,383,309,89,4880,726,515,308,349,68,1065,544,242,387,89,3400
2012-13,Arunanchal Pradesh,5643,1230,287,0,15,5596,943,218,0,6,13917,4950,1519,440,0,9,4630,1133,346,0,8,13018
2012-13,Nagaland,3355,1130,484,0,0,3265,689,246,0,0,9169,2348,955,359,0,0,2661,656,222,0,0,7201
2012-13,Manipur,2357,5000,270,8,0,2405,4943,179,2,0,15154,2342,5377,245,0,0,2242,5175,239,0,0,15620
2012-13,Mizoram,3527,1062,327,206,1,3625,933,256,141,1,9730,3106,1001,243,191,1,3236,919,265,128,1,8770
2012-13,Tripura,11084,2706,1011,0,30,9368,1638,157,40,1,25964,8629,2034,901,0,27,7187,1136,163,0,1,20050
2012-13,Meghalaya,3415,904,433,0,0,5249,1014,456,0,0,11471,3037,740,367,0,0,4477,832,362,0,0,9815
2012-13,Assam,53031,7398,3753,1235,1130,55564,3673,1531,410,720,124950,47047,5880,3169,549,831,49121,2788,1334,206,370,109339
2012-13,West Bengal,310991,46839,27949,11584,7052,324140,23591,7442,3486,6492,740952,281470,42451,24732,8644,6184,283956,20981,6973,2765,5525,660563
2012-13,Jharkhand,12983,11254,4375,637,0,15454,5557,3521,213,80,53144,10255,8976,3305,896,9,11834,4534,2832,100,112,41736
2012-13,Odisha,285,846,228,151,150,224,677,137,126,113,2397,280,663,180,153,91,223,503,138,130,31,1987
2012-13,Chhattisgarh,13127,21835,9532,502,2071,17552,17930,7065,209,1125,87041,11880,25880,8619,373,1919,14216,17613,6118,112,980,84326
2012-13,Madhya Pradesh,33746,59926,21449,1390,9224,42024,47154,16308,726,5953,220607,35096,60461,22515,1179,9559,41017,39679,15931,831,6003,214699
